rank,Category,Indicator,Policy,Country,ISO,value,unit,year
26,Social issues ,Life Ladder ,C8_International travel controls,Mauritius,MUS,6.048999786376953,score,2021.0
28,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Mauritius,MUS,3.04519887841665,percent of GNI,2018.0
30,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Mauritius,MUS,0.8220398,score,2019.0
31,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Mauritius,MUS,8.7,percent,2020.0
32,Demographics,Mobile cellular subscriptions,C8_International travel controls,Mauritius,MUS,151.359,per 100 people,2019.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Mauritius,MUS,2.5331,Ones,2018.0
34,Environment,Renewable energy consumption ,C8_International travel controls,Mauritius,MUS,11.5373619624728,percent of total final energy consumption,2015.0
35,Health,"Prevalence of HIV, total (% of population ages 15-49)",C8_International travel controls,Mauritius,MUS,1.2,percent,2019.0
36,Health,Prevalence of obesity,C8_International travel controls,Mauritius,MUS,10.8,percent,2016.0
37,Environment,Electric power consumption ,C8_International travel controls,Mauritius,MUS,2182.509155911412,kWh per capita,2014.0
38,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,Mauritius,MUS,100.0,percent of total,2017.0
39,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Mauritius,MUS,20.0,proportion,2020.0
40,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Mauritius,MUS,96.0,percent,2019.0
41,Health,Prevalence of anxiety disorders,C8_International travel controls,Mauritius,MUS,0.043671,percent,2019.0
42,Environment,CO2 emissions (metric tons per capita),C8_International travel controls,Mauritius,MUS,3.442149,metric tons per capita,2016.0
44,Governance,Human Freedom Score ,C8_International travel controls,Mauritius,MUS,7.55,score,2018.0
45,Governance,Fragile States Index Total ,C8_International travel controls,Mauritius,MUS,37.18472003299283,score,2020.0
46,Governance,Voice and accountability estimate,C8_International travel controls,Mauritius,MUS,0.8081411,score,2019.0
47,Environment,"Electricity production from oil, gas and coal sources",C8_International travel controls,Mauritius,MUS,77.27727727727728,percent of total,2015.0
48,Governance,Corruption Perceptions Index,C8_International travel controls,Mauritius,MUS,53.0,score,2020.0
49,Governance,Total freedom in the world score ,C8_International travel controls,Mauritius,MUS,87.0,score,2021.0
51,Governance,Control of corruption estimate,C8_International travel controls,Mauritius,MUS,0.317112,score,2019.0
52,Social issues ,Gini index (World Bank estimate),C8_International travel controls,Mauritius,MUS,36.8,index ,2017.0
53,Health,Mortality due to COVID-19,C8_International travel controls,Mauritius,MUS,10.0,"Number (cumulative total by Dec 26,2020)",2020.0
54,Environment,Energy use (kg of oil equivalent per capita),C8_International travel controls,Mauritius,MUS,1111.422168011966,kg of oil equivalent per capita,2014.0
55,Environment,Electricity production from nuclear sources ,C8_International travel controls,Mauritius,MUS,0.0,percent of total,2014.0
56,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Mauritius,MUS,32.14,percent,2018.0
57,Environment,Electricity production from oil sources,C8_International travel controls,Mauritius,MUS,37.83783783783784,percent of total,2015.0
58,Governance,Government effectiveness estimate,C8_International travel controls,Mauritius,MUS,0.8711399,score,2019.0
59,Governance,Human Development Index,C8_International travel controls,Mauritius,MUS,0.804,index,2019.0
60,Health,Prevalence of Respiratory infections and tuberculosis,C8_International travel controls,Mauritius,MUS,0.317767,percent,2019.0
61,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Mauritius,MUS,37.0,score,2021.0
62,Governance,Economic Freedom Score,C8_International travel controls,Mauritius,MUS,8.21,score,2018.0
63,Governance,Rule of law estimate ,C8_International travel controls,Mauritius,MUS,0.7635766,score,2019.0
64,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Mauritius,MUS,559000000.0,kWh,2015.0
66,Governance,Regulatory quality estimate,C8_International travel controls,Mauritius,MUS,0.9965204,score,2019.0
68,Environment,Combustible renewables and waste,C8_International travel controls,Mauritius,MUS,5.095082,percent of total energy,2014.0
70,Environment,Fossil fuel energy consumption,C8_International travel controls,Mauritius,MUS,84.54236,percent of total,2014.0
71,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Mauritius,MUS,12.0,Cases,2019.0
72,Environment,"Energy imports, net ",C8_International travel controls,Mauritius,MUS,84.5422889477177,percent of energy use,2014.0
74,Environment,Electricity production from coal sources ,C8_International travel controls,Mauritius,MUS,39.43943943943944,percent of total,2015.0
77,Demographics,Secure Internet servers ,C8_International travel controls,Mauritius,MUS,515.1254907320865,per 1 million people,2019.0
79,Economics,Volume of exports,C8_International travel controls,Mauritius,MUS,4.446,percent change,2020.0
80,Health,Prevalence of chronic kidney disease,C8_International travel controls,Mauritius,MUS,0.180578,percent,2019.0
82,Social issues ,"Intentional homicides (per 100,000 people)",C8_International travel controls,Mauritius,MUS,2.9198600992,"proportion, pero 100,000 people",2018.0
83,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Mauritius,MUS,50.0,score,2021.0
84,Health,"Nurses and midwives (per 1,000 people)",C8_International travel controls,Mauritius,MUS,3.5152,Ones,2017.0
85,Environment,Access to electricity ,C8_International travel controls,Mauritius,MUS,97.4660034179688,percent of population,2018.0
86,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Mauritius,MUS,99.0,percent,2019.0
95,Governance,Personal Freedom Score ,C8_International travel controls,Mauritius,MUS,6.89,score,2018.0
